SCHNAME,RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNOTFSM6CLA1A,PTNOTFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELE,PSENELE,TSENELK,PSENELK,TSENELEK,PSENELEK,TELIG_22,PTFSM6CLA1A_22,PTNOTFSM6CLA1A_22,PTRWM_EXP_22,PTRWM_HIGH_22,PTRWM_EXP_FSM6CLA1A_22,PTRWM_HIGH_FSM6CLA1A_22,PTRWM_EXP_NotFSM6CLA1A_22,PTRWM_HIGH_NotFSM6CLA1A_22,READPROG_22,READPROG_LOWER_22,READPROG_UPPER_22,WRITPROG_22,WRITPROG_LOWER_22,WRITPROG_UPPER_22,MATPROG_22,MATPROG_LOWER_22,MATPROG_UPPER_22,READ_AVERAGE_22,MAT_AVERAGE_22,TELIG_19,PTFSM6CLA1A_19,PTNOTFSM6CLA1A_19,PTRWM_EXP_19,PTRWM_HIGH_19,PTRWM_EXP_FSM6CLA1A_19,PTRWM_HIGH_FSM6CLA1A_19,PTRWM_EXP_NotFSM6CLA1A_19,PTRWM_HIGH_NotFSM6CLA1A_19,READPROG_19,READPROG_LOWER_19,READPROG_UPPER_19,WRITPROG_19,WRITPROG_LOWER_19,WRITPROG_UPPER_19,MATPROG_19,MATPROG_LOWER_19,MATPROG_UPPER_19,READ_AVERAGE_19,MAT_AVERAGE_19,READPROG_UNADJUSTED,WRITPROG_UNADJUSTED,MATPROG_UNADJUSTED,READPROG_DESCR,WRITPROG_DESCR,MATPROG_DESCR
Drapers Mills Primary Academy,1,16974.0,886.0,2017.0,139021.0,Drapers Mills Primary Academy,St Peter's Footpath,,,Margate,CT9 2SP,1843223989.0,E14000852,North Thanet,0.0,,,AC,0.0,,2-11,0.0,0.0,330,54.0,54.0,29.0,25.0,54%,46%,6.8,19.0,37%,26.0,51%,6.0,12%,3.0,6%,40.0,0.74,14.0,26%,20.0,37%,50.0,93%,0.21,0.02,-3.5,-5.2,-1.7,89%,-2.6,-4.2,-0.9,93%,-5.6,-7.3,-4.0,93%,37%,4%,6%,97.0,15%,2%,4%,92.0,30%,2%,4%,95.0,34%,2%,57%,0%,49%,0%,25%,16%,11%,19%,67%,15%,36%,-51,20%,22%,4%,0%,0%,0%,17%,0%,7%,-10,5%,2%,-4.9,-7.3,-2.4,-1.9,-4.5,0.6,-0.4,-3.5,2.6,-5.0,-7.4,-2.5,-5.0,-10.0,0.1,-4.5,-6.5,-2.4,-0.8,-4.2,2.6,-4.9,-1.0,-4.0,2.1,-3.8,-5.6,-1.9,-4.5,-6.8,-2.1,-0.5,-2.9,1.9,1.5,-1.3,4.3,-5.2,-7.6,-2.9,-3.2,-8.1,1.6,-3.5,-5.5,-1.6,0.1,-3.2,3.4,-3.9,1.7,-1.2,4.5,-3.0,-4.7,-1.3,-5.3,-7.6,-3.0,-6.0,-8.3,-3.6,-3.2,-5.9,-0.5,-7.4,-9.7,-5.1,-5.1,-9.8,-0.4,-6.4,-8.4,-4.5,-3.3,-6.5,0.0,-6.9,-3.0,-5.8,-0.2,-5.4,-7.1,-3.7,98,97,91,100,107,96,100,93,97,97,92,89,96,106,94,97,92,95,92,92,87,95,101,92,94,90,92,11%,50%,83%,35%,43%,0%,19%,50%,18%,7%,11%,35%,83%,28%,36%,11%,42%,83%,31%,43%,0%,4%,17%,3%,7%,0%,0%,17%,0%,7%,0%,0%,17%,0%,7%,0%,0%,17%,0%,7%,33.0,61%,1.0,2%,3.0,6%,14.0,26%,17.0,31%,,,,,,,,,,,,,,,,,,,,,68.0,60%,40%,47%,0%,44%,0%,52%,0%,0.7,-1.0,2.3,4.1,2.6,5.6,0.8,-0.6,2.2,98,99,-3.8,-2.9,-6.1,5,4,5
Richmond Primary School,1,46838.0,886.0,2090.0,145013.0,Richmond Primary School,Unity Street,,,Sheerness,ME12 2ET,1795662891.0,E14000927,Sittingbourne and Sheppey,0.0,,,AC,0.0,,2-11,0.0,0.0,325,39.0,37.0,19.0,18.0,51%,49%,7.4,9.0,24%,19.0,51%,9.0,24%,0.0,0%,23.0,0.62,14.0,38%,3.0,8%,34.0,92%,0.3,0.03,-3.9,-5.9,-1.8,100%,0.8,-1.2,2.7,100%,-5.1,-7.0,-3.2,100%,41%,19%,0%,99.0,35%,5%,0%,97.0,43%,8%,0%,97.0,70%,3%,30%,0%,51%,0%,42%,17%,0%,21%,78%,26%,36%,-40,SUPP,32%,5%,0%,0%,0%,11%,4%,0%,-6,SUPP,3%,-3.6,-6.5,-0.8,-4.1,-7.0,-1.2,-3.4,-7.5,0.7,-4.7,-7.5,-1.8,-2.6,-6.8,1.5,-4.1,-6.7,-1.6,-3.4,-6.7,-0.1,-4.5,SUPP,SUPP,SUPP,-3.4,-5.5,-1.3,0.8,-1.9,3.5,0.8,-2.0,3.6,4.7,0.8,8.7,0.1,-2.6,2.8,-1.6,-5.6,2.3,1.1,-1.4,3.6,0.3,-2.9,3.4,0.7,SUPP,SUPP,SUPP,0.9,-1.2,2.9,-2.8,-5.5,-0.1,-7.4,-10.2,-4.7,-6.0,-9.9,-2.1,-5.5,-8.1,-2.8,-3.2,-7.1,0.6,-5.4,-7.8,-3.0,-4.5,-7.6,-1.4,-5.9,SUPP,SUPP,SUPP,-4.7,-6.7,-2.7,100,99,91,100,107,98,101,SUPP,100,100,94,87,98,106,96,100,SUPP,98,98,95,89,96,105,96,99,SUPP,97,0%,42%,78%,35%,50%,0%,26%,89%,26%,50%,0%,37%,100%,30%,64%,33%,74%,100%,61%,86%,0%,5%,67%,13%,29%,0%,5%,11%,4%,7%,0%,5%,22%,9%,7%,0%,0%,11%,4%,0%,34.0,92%,0.0,0%,2.0,5%,9.0,24%,11.0,30%,,,,,,,,,,,,,,,,,,,,,47.0,70%,30%,34%,0%,24%,0%,57%,0%,-5.7,-7.5,-3.9,-7.6,-9.2,-5.9,-6.1,-7.7,-4.6,97,97,-4.3,0.8,-5.5,5,3,5
St Edward's Catholic Primary School,1,50454.0,886.0,2054.0,141386.0,St Edward's Catholic Primary School,New Road,,,Sheerness,ME12 1BW,1795662708.0,E14000927,Sittingbourne and Sheppey,0.0,,,AC,0.0,Roman Catholic,4-11,0.0,0.0,197,33.0,33.0,16.0,17.0,48%,52%,7.4,7.0,23%,17.0,55%,7.0,23%,2.0,6%,21.0,0.64,12.0,36%,6.0,18%,26.0,79%,0.27,0.0,-2.8,-5.0,-0.6,94%,1.8,-0.3,4.0,94%,-4.3,-6.4,-2.2,94%,52%,9%,0%,100.0,55%,6%,0%,100.0,42%,3%,0%,98.0,76%,6%,21%,0%,82%,0%,19%,35%,0%,18%,86%,29%,25%,-37,50%,27%,0%,0%,0%,0%,0%,0%,0%,-10,0%,0%,-2.7,-6.0,0.6,-2.9,-5.9,0.1,-1.6,-6.3,3.1,-2.7,-5.7,0.3,-4.4,-9.0,0.3,-3.1,-5.8,-0.4,-2.2,-6.1,1.7,-3.5,SUPP,SUPP,SUPP,-2.7,-5.1,-0.3,2.7,-0.4,5.9,1.1,-1.8,4.0,5.5,1.0,9.9,2.0,-0.9,4.9,-2.2,-6.7,2.3,1.6,-1.0,4.2,2.4,-1.3,6.2,1.2,SUPP,SUPP,SUPP,1.7,-0.7,4.0,-2.1,-5.2,1.0,-6.1,-8.9,-3.3,-3.1,-7.5,1.3,-4.1,-7.0,-1.3,-6.0,-10.4,-1.6,-3.8,-6.4,-1.3,-5.4,-9.0,-1.7,-4.3,SUPP,SUPP,SUPP,-4.2,-6.5,-1.9,97,103,93,101,107,100,101,101,100,98,99,91,99,104,99,97,102,98,97,103,92,101,107,100,101,101,100,14%,53%,100%,48%,58%,0%,65%,100%,48%,67%,0%,47%,86%,43%,42%,43%,88%,100%,71%,83%,0%,6%,29%,14%,0%,0%,6%,14%,10%,0%,0%,0%,14%,5%,0%,0%,6%,14%,10%,0%,27.0,82%,0.0,0%,2.0,6%,4.0,12%,6.0,18%,,,,,,,,,,,,,,,,,,,,,28.0,54%,46%,68%,11%,60%,7%,77%,15%,3.4,1.0,5.8,3.2,1.0,5.4,0.0,-2.1,2.1,106,103,-2.8,1.8,-4.3,5,3,5
St Ethelbert's Catholic Primary School,1,50542.0,886.0,3722.0,118764.0,St Ethelbert's Catholic Primary School,"St Ethelbert's Catholic Primary School, Dane Park Road",,,Ramsgate,CT11 7LS,1843585555.0,E14000948,South Thanet,0.0,,,VA,0.0,Roman Catholic,3-11,0.0,0.0,209,30.0,29.0,17.0,12.0,59%,41%,7.2,9.0,32%,12.0,43%,7.0,25%,1.0,3%,8.0,0.28,21.0,72%,10.0,34%,29.0,100%,0.48,0.03,-2.3,-4.6,0.0,97%,-0.3,-2.5,1.9,97%,-1.8,-4.0,0.5,93%,55%,10%,0%,100.0,59%,21%,0%,100.0,55%,14%,3%,100.0,66%,7%,24%,0%,59%,0%,53%,42%,0%,50%,100%,25%,57%,-41,60%,48%,6%,0%,0%,0%,14%,0%,5%,-10,10%,3%,-0.7,-3.7,2.3,-4.8,-8.5,-1.0,-2.8,-6.9,1.3,-3.3,-6.9,0.2,0.1,-4.5,4.8,-2.5,-6.8,1.9,-2.2,-5.0,0.6,-2.9,-1.9,-5.8,2.0,-2.3,-4.6,0.0,-0.8,-3.7,2.0,0.5,-3.0,4.1,-0.9,-4.9,3.0,-0.2,-3.7,3.2,0.4,-4.0,4.9,0.9,-3.2,5.1,-0.8,-3.4,1.9,0.5,-1.6,-5.4,2.1,-0.3,-2.5,1.9,-1.5,-4.3,1.3,-2.3,-5.9,1.4,-3.2,-7.3,0.9,-2.7,-6.0,0.7,1.4,-3.0,5.8,-2.6,-6.9,1.8,-1.5,-4.1,1.1,-3.1,-0.4,-4.0,3.3,-1.8,-4.0,0.5,102,98,91,101,110,94,102,103,100,100,101,89,101,110,94,102,104,100,101,99,90,102,111,94,103,104,100,0%,67%,100%,25%,67%,0%,83%,100%,38%,67%,0%,67%,100%,38%,62%,11%,83%,100%,38%,76%,0%,0%,43%,0%,14%,0%,8%,71%,0%,29%,0%,0%,57%,0%,19%,0%,0%,29%,0%,10%,19.0,66%,0.0,0%,3.0,10%,4.0,14%,7.0,24%,,,,,,,,,,,,,,,,,,,,,30.0,30%,70%,37%,0%,0%,0%,52%,0%,-3.4,-5.6,-1.2,-5.5,-7.5,-3.4,-5.1,-7.0,-3.2,102,100,-2.3,-0.3,-1.8,3,3,3
Copperfield Academy,1,14118.0,886.0,2024.0,139685.0,Copperfield Academy,Dover Road East,Northfleet,,Gravesend,DA11 0RB,1474352488.0,E14000715,Gravesham,0.0,,,AC,0.0,Does not apply,3-11,0.0,0.0,443,60.0,62.0,35.0,27.0,56%,44%,7.0,22.0,38%,28.0,48%,8.0,14%,4.0,6%,28.0,0.45,34.0,55%,27.0,44%,56.0,90%,0.38,0.0,-2.2,-3.8,-0.6,94%,-1.4,-2.9,0.2,94%,-4.1,-5.7,-2.6,92%,55%,11%,2%,100.0,40%,8%,2%,99.0,46%,8%,2%,98.0,58%,0%,26%,0%,58%,0%,37%,38%,14%,43%,75%,18%,55%,-48,54%,36%,0%,0%,0%,0%,0%,0%,0%,-10,0%,0%,-1.9,-4.0,0.3,-2.6,-5.1,-0.2,-2.9,-5.6,-0.3,-2.2,-4.6,0.1,0.0,-4.4,4.3,-5.2,-7.6,-2.8,0.2,-2.0,2.4,-5.6,-0.5,-3.0,2.0,-2.1,-3.8,-0.4,-0.8,-2.8,1.3,-2.2,-4.5,0.2,-0.9,-3.4,1.7,-0.9,-3.2,1.3,-4.3,-8.5,-0.1,-5.4,-7.7,-3.0,1.9,-0.2,4.0,-5.8,0.8,-1.6,3.2,-1.5,-3.1,0.1,-2.7,-4.7,-0.7,-6.1,-8.5,-3.8,-5.3,-7.9,-2.8,-4.0,-6.2,-1.8,-1.5,-5.6,2.6,-8.1,-10.3,-5.8,-0.8,-2.9,1.2,-8.6,-1.4,-3.8,1.0,-4.0,-5.6,-2.5,102,99,93,102,111,97,103,102,100,99,96,90,99,108,94,101,101,98,99,99,91,101,110,95,102,102,99,27%,64%,100%,39%,68%,5%,50%,100%,29%,50%,14%,54%,88%,25%,64%,32%,71%,88%,32%,79%,0%,7%,63%,11%,12%,0%,4%,50%,0%,15%,0%,4%,50%,7%,9%,0%,0%,0%,0%,0%,35.0,56%,0.0,0%,4.0,6%,11.0,18%,15.0,24%,,,,,,,,,,,,,,,,,,,,,76.0,26%,74%,38%,7%,30%,0%,41%,9%,-4.0,-5.5,-2.5,-2.5,-3.8,-1.2,-4.7,-6.0,-3.5,99,98,-2.3,-1.5,-4.4,4,3,5
"Margate, Holy Trinity and St John's Church of England Primary School",1,35612.0,886.0,3179.0,118694.0,"Margate, Holy Trinity and St John's Church of England Primary School",St John's Road,,,Margate,CT9 1LU,1843223237.0,E14000852,North Thanet,0.0,,,VC,0.0,Church of England,4-11,0.0,0.0,407,59.0,59.0,30.0,29.0,51%,49%,6.9,22.0,44%,21.0,42%,7.0,14%,9.0,15%,34.0,0.58,25.0,42%,19.0,32%,50.0,85%,0.41,0.08,-1.0,-2.8,0.7,85%,2.5,0.8,4.2,85%,-1.9,-3.6,-0.3,85%,56%,20%,0%,100.0,39%,7%,0%,97.0,44%,12%,0%,98.0,63%,14%,32%,0%,63%,0%,47%,34%,9%,67%,71%,32%,52%,-34,42%,42%,7%,10%,0%,5%,43%,6%,12%,-4,11%,6%,-1.5,-4.0,0.9,-0.6,-3.0,1.9,-4.2,-6.9,-1.6,1.4,-1.3,4.1,1.6,-3.0,6.3,-1.9,-4.1,0.2,0.6,-2.4,3.6,-2.3,0.7,-2.7,4.1,-1.0,-2.8,0.8,1.7,-0.7,4.1,3.3,1.0,5.7,1.8,-0.7,4.4,4.1,1.5,6.6,-0.1,-4.6,4.4,1.4,-0.6,3.5,4.6,1.7,7.5,1.0,4.1,0.8,7.3,2.7,1.0,4.4,-1.3,-3.6,1.0,-2.5,-4.8,-0.2,-4.5,-6.9,-2.0,0.6,-1.9,3.1,-1.6,-6.0,2.8,-3.4,-5.4,-1.3,0.9,-2.0,3.7,-3.9,-0.1,-3.3,3.1,-1.8,-3.5,-0.1,99,102,92,106,112,99,102,100,100,99,98,90,104,108,96,101,99,98,95,98,90,101,106,95,99,98,96,18%,86%,100%,50%,64%,5%,62%,100%,32%,48%,9%,71%,86%,32%,60%,27%,95%,86%,53%,76%,0%,19%,86%,18%,24%,0%,5%,29%,6%,8%,0%,10%,57%,12%,12%,0%,19%,43%,9%,20%,40.0,68%,0.0,0%,0.0,0%,13.0,22%,13.0,22%,,,,,,,,,,,,,,,,,,,,,57.0,44%,56%,53%,2%,44%,0%,59%,3%,-1.3,-2.9,0.3,-4.4,-5.9,-2.9,-2.3,-3.7,-0.9,102,102,-1.0,2.5,-1.9,3,2,4
Eastchurch Church of England Primary School,1,17690.0,886.0,3106.0,148118.0,Eastchurch Church of England Primary School,Warden Road,Eastchurch,,Sheerness,ME12 4EJ,1795880279.0,E14000927,Sittingbourne and Sheppey,0.0,,,ACC,0.0,Church of England,3-11,0.0,0.0,368,65.0,64.0,36.0,28.0,56%,44%,7.6,11.0,17%,39.0,61%,14.0,22%,0.0,0%,27.0,0.42,37.0,58%,0.0,0%,59.0,92%,0.36,0.0,-5.3,-6.8,-3.7,100%,-0.2,-1.7,1.3,100%,-5.8,-7.2,-4.4,100%,44%,9%,0%,100.0,44%,11%,0%,100.0,44%,2%,0%,98.0,64%,8%,36%,0%,78%,0%,44%,25%,0%,26%,93%,33%,38%,-33,,37%,0%,0%,0%,0%,0%,0%,0%,-10,,0%,-4.4,-6.4,-2.3,-6.4,-8.7,-4.0,-9.3,-13.0,-5.6,-5.2,-7.2,-3.2,-2.2,-5.5,1.1,-4.7,-7.1,-2.3,-5.7,-7.7,-3.6,-5.1,,,,-5.0,-6.6,-3.4,-0.7,-2.7,1.3,0.4,-1.8,2.6,-0.5,-4.0,3.1,-0.8,-2.7,1.1,1.6,-1.6,4.7,-1.4,-3.6,0.9,0.6,-1.3,2.6,-1.8,,,,-0.2,-1.8,1.3,-4.2,-6.2,-2.3,-7.8,-10.0,-5.6,-8.6,-12.1,-5.1,-5.9,-7.7,-4.0,-3.4,-6.5,-0.3,-4.9,-7.2,-2.7,-6.4,-8.3,-4.5,-5.4,,,,-5.7,-7.2,-4.2,101,98,91,99,108,99,100,,100,100,96,90,97,106,98,98,,98,100,99,91,98,108,99,100,,100,0%,36%,100%,41%,46%,0%,38%,93%,33%,51%,9%,36%,93%,44%,43%,9%,67%,100%,48%,76%,0%,5%,29%,11%,8%,0%,3%,43%,11%,11%,0%,0%,7%,4%,0%,0%,0%,36%,4%,11%,63.0,98%,1.0,2%,4.0,6%,5.0,8%,9.0,14%,,,,,,,,,,,,,,,,,,,,,46.0,59%,41%,49%,0%,38%,0%,63%,0%,-1.4,-3.2,0.5,1.4,-0.3,3.1,-3.5,-5.1,-2.0,101,99,-6.0,-0.2,-6.5,5,3,5
Pilgrims' Way Primary School,1,44150.0,886.0,2098.0,145951.0,Pilgrims' Way Primary School,Pilgrims Way,,,Canterbury,CT1 1XU,1227760084.0,E14000619,Canterbury,0.0,,,AC,0.0,,3-11,0.0,0.0,348,57.0,54.0,24.0,30.0,44%,56%,7.4,12.0,30%,18.0,45%,10.0,25%,14.0,26%,34.0,0.63,20.0,37%,20.0,37%,38.0,70%,0.3,0.04,-2.6,-4.5,-0.6,74%,-2.3,-4.2,-0.5,74%,-2.7,-4.6,-0.9,74%,54%,11%,0%,100.0,56%,17%,0%,101.0,50%,11%,0%,99.0,41%,6%,46%,0%,61%,0%,29%,30%,8%,33%,70%,18%,50%,-48,30%,34%,0%,7%,0%,0%,10%,0%,10%,-10,5%,0%,-3.6,-6.6,-0.6,-1.8,-4.3,0.8,-0.5,-4.1,3.0,-4.9,-7.8,-2.0,-0.8,-4.7,3.1,-4.4,-6.8,-2.0,0.9,-2.4,4.2,-4.8,-1.1,-4.9,2.6,-3.0,-5.2,-0.9,-5.0,-7.8,-2.1,-0.4,-2.9,2.1,0.2,-3.2,3.6,-3.1,-5.9,-0.3,-4.1,-7.8,-0.3,-3.7,-6.0,-1.4,0.1,-3.0,3.3,-4.1,-1.0,-4.5,2.6,-3.1,-5.1,-1.0,-3.0,-5.8,-0.1,-2.6,-5.0,-0.2,-1.1,-4.5,2.2,-4.4,-7.2,-1.7,-1.7,-5.3,2.0,-4.2,-6.4,-1.9,-0.1,-3.2,3.0,-4.7,0.6,-2.9,4.1,-2.7,-4.7,-0.8,99,101,93,100,110,97,105,101,101,99,99,92,99,108,96,104,101,100,99,102,93,102,111,97,106,101,102,25%,50%,100%,38%,80%,25%,56%,100%,38%,85%,25%,50%,90%,32%,80%,17%,56%,80%,26%,65%,0%,0%,50%,9%,15%,0%,6%,60%,9%,30%,0%,0%,40%,3%,25%,0%,6%,10%,0%,15%,34.0,63%,0.0,0%,1.0,2%,9.0,17%,10.0,19%,,,,,,,,,,,,,,,,,,,,,39.0,59%,41%,49%,5%,43%,4%,56%,6%,-2.4,-4.5,-0.3,-1.7,-3.6,0.2,-3.0,-4.8,-1.1,99,100,-2.6,-2.4,-2.9,4,4,4
Aylesham Primary School,1,3548.0,886.0,2648.0,118563.0,Aylesham Primary School,Attlee Avenue,Aylesham,,Canterbury,CT3 3BS,1304840392.0,E14000670,Dover,0.0,,,CY,0.0,Does not apply,4-11,0.0,0.0,391,57.0,56.0,23.0,33.0,41%,59%,7.7,11.0,20%,27.0,50%,16.0,30%,2.0,4%,21.0,0.38,35.0,63%,6.0,11%,44.0,79%,0.3,0.02,-4.4,-6.1,-2.7,95%,-0.4,-2.0,1.2,96%,-6.7,-8.3,-5.1,95%,48%,9%,2%,100.0,38%,5%,2%,97.0,39%,2%,2%,97.0,66%,9%,32%,0%,75%,0%,17%,39%,27%,19%,56%,19%,37%,-47,83%,36%,0%,3%,0%,0%,6%,0%,3%,-10,0%,2%,-4.8,-7.4,-2.2,-4.1,-6.4,-1.9,0.5,-3.2,4.2,-6.0,-8.4,-3.7,-5.1,-8.3,-1.9,-3.8,-6.6,-1.0,-4.8,-6.9,-2.6,-4.2,SUPP,SUPP,SUPP,-4.3,-6.2,-2.4,-0.3,-2.8,2.2,-0.5,-2.6,1.6,3.2,-0.4,6.7,-1.8,-4.0,0.5,-0.7,-3.6,2.3,-0.7,-3.4,1.9,-0.3,-2.3,1.8,-1.1,SUPP,SUPP,SUPP,-0.3,-2.2,1.5,-7.0,-9.5,-4.6,-6.4,-8.5,-4.4,-4.4,-7.8,-0.9,-8.2,-10.4,-5.9,-5.8,-8.7,-2.8,-7.2,-9.8,-4.6,-6.4,-8.4,-4.4,-7.7,SUPP,SUPP,SUPP,-6.6,-8.4,-4.8,99,100,97,98,105,98,100,107,101,96,97,90,95,103,94,98,104,97,96,97,92,96,104,95,98,100,98,45%,33%,81%,43%,51%,9%,26%,81%,33%,40%,27%,26%,69%,33%,43%,36%,63%,100%,48%,77%,9%,7%,13%,10%,9%,9%,4%,6%,0%,9%,0%,0%,6%,0%,3%,0%,7%,19%,5%,11%,50.0,89%,0.0,0%,2.0,4%,11.0,20%,13.0,23%,,,,,,,,,,,,,,,,,,,,,32.0,53%,47%,50%,3%,53%,6%,47%,0%,-4.3,-6.4,-2.1,-2.0,-4.0,0.0,-4.2,-6.1,-2.3,100,101,-4.7,-0.4,-6.9,5,3,5
